Major,Location,Residence,Scholarship,Sex,Type,Type,Enrollment Age,Marital Status,Enrollment Data,Sponsor,Credits Attempted,Credits Completed,Credits Dropped,GPA Current,GPA Average,Number o fSportq,Intermural,Number of Clubes,Expected Graduation Date,Class Of,Actual Graduation Date,comments are well thought out and clearly articulated
All Majors,Virginia,On-Campus Dorm,None,Male,FT,Non-Athlete,17,S,1989,,47,11,18,2.6,1.9,0,1,1,1993,93,1996,would be an asset to your program
Education,New Jersey,Off-Campus University Housing,University,Female,FT,RA,25,M,1997,,5,0,3,,2.7,2,1,0,2001,1,2005,
Human Services,New Hampshire,Off-Campus Other,University,Female,FT,Non-Athlete,23,M,1986,,56,25,17,2.4,0.75,2,1,4,1990,90,1992,
Human Services,Palau,Commuter,University,Male,FT,Athlete,25,S,1990,,128,49,6,1.4,3.4,4,1,2,1994,94,1996,
Liberal Arts and Sciences Studies and Humanities,Maine,Off-Campus University Housing,University,Male,FT,Athelete,17,S,1990,,13,0,1,2.7,3.5,2,1,1,1994,94,1994,
Aviation,Montana,Off-Campus Other,University,Male,FT,Athlete,18,M,1997,,53,30,19,2.6,3.5,2,1,2,2001,1,2003,if you have further questions
"Agriculture, Agriculture Operations, and Related Sciences",Virgin Islands,On-Campus Dorm,University,Female,PT,Athlete,25,M,1997,,149,98,19,1.6,2.8,3,2,4,2001,1,2002,
English Language and Literature/letters,Nevada,On-Campus Dorm,All Scholarship Types,Male,FT,RA,18,S,1992,,136,115,11,3.3,1.8,0,1,1,1996,96,1998,has been a pleasure to supervise
Health Professions and Related Programs,American,Off-Campus Other,Other,Female,PT,RA,20,S,2002,,33,6,11,0.75,1.5,0,1,2,2006,6,2006,should be given serious consideration
Construction Trades,Maine,On-Campus Dorm,Private,Male,FT,Non-Athlete,21,M,2001,,102,24,75,0.75,1.9,0,1,1,2005,5,2009,completely loyal and trustworthy
Aviation,Wyoming,On-Campus University Housing,All Scholarship Types,Female,PT,Non-Athlete,17,S,1993,,39,16,6,1.8,2.2,2,2,0,1997,97,2000,her sensitivity and concern for others
Biological and Biomedical Sciences,Wyoming,Commuter,All Scholarship Types,Female,FT,Athelete,18,M,1994,,107,45,44,,3.8,1,1,1,1998,98,2002,
Human Services,Maine,On-Campus University Housing,Other,Female,PT,Athelete,22,S,1998,,114,14,89,3.9,3.5,2,1,4,2002,2,2006,have admiration and respect for
History,Louisiana,Off-Campus Other,Other,Male,FT,Athlete,18,S,1995,,95,90,2,3.7,1.4,1,2,0,1999,99,2001,"comparable to peers,"
Health Professions and Related Programs,Wyoming,On-Campus University Housing,University,Female,PT,Athelete,20,M,1992,,133,128,3,3.2,3.4,2,1,1,1996,96,2000,
Computer and Information Sciences and Support Services,New Hampshire,Off-Campus University Housing,Other,Male,PT,Athlete,24,S,1997,,22,10,1,3.8,2.4,0,2,3,2001,1,2002,
"Communication, Journalism, and Related Programs",New Jersey,Off-Campus University Housing,None,Female,FT,Athlete,18,M,1988,,148,22,61,1.8,3.3,2,1,1,1992,92,1995,
Aviation,Ohio,Off-Campus University Housing,Private,Female,FT,RA,19,M,1999,,135,102,29,2.1,,3,1,4,2003,3,2006,outstanding leadership abilities
"Agriculture, Agriculture Operations, and Related Sciences",New Hampshire,On-Campus Dorm,University,Female,PT,Non-Athlete,18,M,2004,,132,97,13,1.7,1.4,3,1,3,2008,8,2008,
"Foreign Languages, Literatures, and Linguistics",North Dakota,On-Campus Dorm,Other,Male,FT,Non-Athlete,18,S,2000,,90,61,25,1.7,3.1,2,1,2,2004,4,2007,can offer only the highest recommendation for
Health Professions and Related Programs,Oklahoma,On-Campus Dorm,All Scholarship Types,Male,FT,RA,23,S,1989,,109,28,77,1.7,3.3,3,2,4,1993,93,1994,
Engineering,Iowa,Commuter,Other,Male,FT,Athelete,20,S,1992,,56,34,8,3,3.7,1,1,1,1996,96,1999,have no hesitation in recommending
Computer and Information Sciences and Support Services,West Virginia,On-Campus University Housing,Other,Female,FT,RA,23,M,2000,,33,32,0,1.3,1.8,0,1,2,2004,4,2006,have no reservations in
Education,Ohio,Commuter,University,Female,PT,Athlete,19,S,1987,,4,0,0,1.4,3.3,0,1,1,1991,91,1991,
Engineering Technologies and Engineering-Related Fields,Northern Marianas,On-Campus Dorm,Private,Female,PT,RA,25,S,1997,,141,38,45,3.8,3.3,3,1,0,2001,1,2002,handles responsibility well
"Communication, Journalism, and Related Programs",Montana,Off-Campus University Housing,All Scholarship Types,Female,PT,RA,20,S,2003,,148,35,68,3.8,2.2,4,1,3,2007,7,2008,
"Communication, Journalism, and Related Programs",New York,Off-Campus University Housing,Other,Male,PT,Athelete,17,M,1990,,45,28,11,3,3.5,4,2,1,1994,94,1997,Self-starter
Military Technologies and Applied Sciences,Utah,Commuter,University,Female,FT,Athelete,17,M,1993,,10,8,1,3.1,3.6,4,2,2,1997,97,2000,
Human Services,Idaho,Off-Campus University Housing,Other,Male,PT,Athelete,18,S,2000,,10,10,0,1,3.7,1,1,4,2004,4,2004,has been a pleasure to supervise
Human Services,Guam,On-Campus Dorm,All Scholarship Types,Female,FT,RA,21,M,1994,,16,11,5,2.4,1,3,2,1,1998,98,2000,have admiration and respect for
Construction Trades,Indiana,Commuter,Other,Male,FT,Non-Athlete,20,S,2000,,124,119,0,3.4,2.7,3,2,3,2004,4,2006,
"Area, Ethnic, Cultural, Gender, and Group Studies",South Dakota,Commuter,Other,Male,FT,Athelete,24,S,1999,,7,6,1,3.1,3.9,0,2,0,2003,3,2004,conventions/grammar rule
"Communication, Journalism, and Related Programs",Guam,On-Campus Dorm,Private,Male,FT,RA,19,S,2000,,95,69,23,1,2.4,2,1,1,2004,4,2007,
Engineering,Arizona,On-Campus University Housing,None,Male,FT,Athelete,18,M,1997,,87,13,16,2.7,3.8,2,2,3,2001,1,2003,Applies themself
"Area, Ethnic, Cultural, Gender, and Group Studies",West Virginia,Commuter,University,Male,FT,RA,25,S,1994,,100,87,3,1.6,4,3,1,0,1998,98,2002,writes sentence or paragraph
Military Technologies and Applied Sciences,Ohio,On-Campus Dorm,None,Female,FT,RA,24,S,1999,,4,4,0,3.6,3.6,3,2,0,2003,3,2004,
Liberal Arts and Sciences Studies and Humanities,Illinois,Commuter,Other,Male,PT,Athelete,24,M,1993,,44,6,30,1.4,3.9,4,1,0,1997,97,1998,if you would like more information
Military Technologies and Applied Sciences,Wyoming,Commuter,Other,Female,FT,Athelete,22,M,2003,,82,15,2,3,3.4,2,2,1,2007,7,2011,is innovative and creative
"Foreign Languages, Literatures, and Linguistics",New Mexico,On-Campus Dorm,Other,Female,PT,Athlete,21,S,1993,,119,61,55,3,1,1,1,3,1997,97,2000,
"Agriculture, Agriculture Operations, and Related Sciences",Washington,Commuter,Other,Female,PT,Non-Athlete,19,M,1996,,46,37,3,4,2.7,1,1,2,2000,0,2000,should be given serious consideration
"Foreign Languages, Literatures, and Linguistics",Washington,On-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,22,M,1987,,46,9,13,3.6,1.1,1,2,0,1991,91,1995,will be successful in any enterprise he undertakes
"Foreign Languages, Literatures, and Linguistics",Georgia,Off-Campus University Housing,Private,Female,FT,RA,18,S,1994,,131,36,63,,2.3,3,1,2,1998,98,1999,
Computer and Information Sciences and Support Services,Alabama,Off-Campus Other,Private,Male,FT,Athelete,23,M,2001,,22,19,0,1.7,3.7,2,2,4,2005,5,2007,have had the opportunity to
"Agriculture, Agriculture Operations, and Related Sciences",West Virginia,Commuter,None,Female,PT,Athlete,20,S,1991,,119,91,6,3.7,2.1,1,2,3,1995,95,1997,
Library Science,Massachusetts,Off-Campus Other,Private,Female,FT,Non-Athlete,17,S,1985,,61,37,23,3.4,4,0,2,2,1989,89,1992,
Library Science,Nebraska,Off-Campus Other,Other,Male,FT,Athelete,19,S,2001,,67,6,59,1.8,3.9,3,2,4,2005,5,2008,first came to my attention when
Architecture and Related Services,Connecticut,Commuter,Private,Female,PT,Athlete,18,M,1986,,110,6,82,1.8,3.1,3,1,3,1990,90,1991,
All Majors,Iowa,Off-Campus University Housing,None,Female,FT,Athelete,23,S,1995,,82,81,1,1.8,3.4,2,2,0,1999,99,2003,
Computer and Information Sciences and Support Services,Utah,Commuter,Other,Male,FT,Non-Athlete,18,S,1986,,85,17,43,2.5,1.2,0,1,2,1990,90,1994,a creative problem-solver
"Communication, Journalism, and Related Programs",Illinois,Off-Campus University Housing,All Scholarship Types,Male,FT,Athlete,18,S,1994,,129,16,4,2.3,,0,2,1,1998,98,2002,always cheerful and dependable
Family and Consumer Sciences/human Sciences,Rhode Island,Off-Campus Other,Other,Male,FT,Athelete,22,S,1995,,105,9,77,2.1,3.9,3,2,2,1999,99,2003,
Aviation,Virgin Islands,On-Campus University Housing,None,Female,PT,Non-Athlete,23,M,1999,,112,49,31,3,3.3,4,2,4,2003,3,2006,am happy to recommend
Health Professions and Related Programs,New Hampshire,On-Campus University Housing,University,Male,FT,RA,20,M,1986,,69,1,18,3.9,2.5,1,2,0,1990,90,1992,Demonstraates leadership
"Agriculture, Agriculture Operations, and Related Sciences",Marshall Islands,On-Campus University Housing,All Scholarship Types,Female,FT,Athlete,19,S,2002,,110,34,36,2.6,3.4,3,1,0,2006,6,2008,is innovative and creative
Liberal Arts and Sciences Studies and Humanities,Kentucky,Off-Campus University Housing,Private,Male,FT,Athelete,18,M,2004,,124,119,1,3.3,4,1,2,1,2008,8,2011,hope this information proves helpful
Military Technologies and Applied Sciences,Puerto Rico,On-Campus Dorm,All Scholarship Types,Female,PT,RA,20,M,1988,,149,106,9,3.9,2.5,2,1,1,1992,92,1995,always behaves professionally
Engineering Technologies and Engineering-Related Fields,West Virginia,Off-Campus Other,Other,Male,FT,Non-Athlete,25,S,1999,,144,6,49,3.7,1.8,3,2,3,2003,3,2005,
History,New Jersey,On-Campus University Housing,Private,Female,FT,Non-Athlete,19,M,1995,,126,58,47,3.2,0.75,3,1,0,1999,99,2003,
Liberal Arts and Sciences Studies and Humanities,Kansas,Off-Campus Other,Private,Female,FT,Athlete,20,M,2002,,45,26,17,3.7,2.9,3,1,4,2006,6,2007,
Multi/interdisciplinary Studies,Puerto Rico,Off-Campus Other,Other,Male,FT,Non-Athlete,23,M,1992,,120,3,73,2.9,3.9,0,1,2,1996,96,1999,first became acquainted with
Multi/interdisciplinary Studies,Maryland,On-Campus Dorm,All Scholarship Types,Male,FT,Non-Athlete,22,M,1989,,93,84,7,3.5,3.4,2,2,3,1993,93,1997,
Library Science,New Jersey,Off-Campus University Housing,All Scholarship Types,Female,PT,Athlete,19,S,1991,,113,0,50,,3.6,4,2,0,1995,95,1995,
Liberal Arts and Sciences Studies and Humanities,Iowa,Off-Campus University Housing,University,Male,FT,RA,19,S,1985,,44,6,11,1.7,2.3,0,1,2,1989,89,1993,her sensitivity and concern for others
Multi/interdisciplinary Studies,Alabama,Off-Campus University Housing,University,Female,FT,Non-Athlete,23,S,1989,,78,76,0,3.2,,4,1,0,1993,93,1995,
Engineering,Nevada,On-Campus University Housing,University,Male,PT,RA,25,S,2002,,76,38,21,3.6,1.6,1,2,4,2006,6,2007,
Mathematics and Statistics,Massachusetts,On-Campus University Housing,University,Male,FT,Athlete,25,S,1998,,100,52,23,3.6,2.9,3,1,0,2002,2,2002,
Computer and Information Sciences and Support Services,Nevada,On-Campus Dorm,Private,Male,PT,Non-Athlete,23,M,2004,,110,105,1,1.2,3.4,2,2,2,2008,8,2012,
Human Services,Colorado,On-Campus University Housing,Private,Male,FT,Non-Athlete,20,M,1985,,67,63,0,3.3,3.4,2,1,2,1989,89,1991,"Hard working, hard worker"
Construction Trades,Northern Marianas,Off-Campus Other,None,Female,PT,Athlete,23,S,1999,,26,19,2,2.3,1,2,2,2,2003,3,2005,works independently and effectively
Architecture and Related Services,Arizona,Commuter,University,Female,FT,RA,19,M,1986,,133,73,50,2.9,3.2,0,1,2,1990,90,1990,wide-range knowledge of
Family and Consumer Sciences/human Sciences,Wyoming,Commuter,University,Female,FT,Athlete,17,S,1986,,38,19,2,2.4,1.1,1,1,4,1990,90,1994,can offer only the highest recommendation for
Engineering Technologies and Engineering-Related Fields,Michigan,Commuter,All Scholarship Types,Male,PT,Athlete,25,S,1985,,60,54,4,3.4,2.2,2,2,1,1989,89,1992,
Liberal Arts and Sciences Studies and Humanities,Massachusetts,On-Campus University Housing,None,Female,FT,Athlete,22,M,1995,,64,21,0,1.8,3.8,4,1,1,1999,99,2001,
Military Technologies and Applied Sciences,Georgia,Off-Campus University Housing,All Scholarship Types,Male,PT,Athlete,18,M,2002,,142,62,49,3.8,0.75,2,2,3,2006,6,2010,is mature beyond her years
Computer and Information Sciences and Support Services,Puerto Rico,Commuter,University,Female,FT,Athlete,17,M,1995,,26,0,2,1.9,3.7,2,1,0,1999,99,2000,always behaves professionally
Military Technologies and Applied Sciences,Texas,On-Campus Dorm,Private,Male,PT,Athelete,20,M,1985,,99,70,17,1.4,3.9,2,1,4,1989,89,1990,
Liberal Arts and Sciences Studies and Humanities,Indiana,On-Campus University Housing,Private,Female,FT,RA,17,M,1994,,30,11,7,3.2,1.2,1,1,1,1998,98,2002,
Mathematics and Statistics,Puerto Rico,On-Campus Dorm,Private,Male,FT,RA,20,S,2005,,142,130,7,1.3,1.1,4,2,0,2009,9,2012,
Architecture and Related Services,Virginia,On-Campus Dorm,Private,Female,FT,RA,25,M,2000,,71,25,32,1.3,1.3,3,2,4,2004,4,2005,
"Business, Management, Marketing, and Related Support Services",New Jersey,On-Campus Dorm,Other,Female,FT,Athelete,24,M,2003,,52,39,1,1.4,3.5,3,1,0,2007,7,2007,can attest to his integrity
"Area, Ethnic, Cultural, Gender, and Group Studies",Maine,On-Campus University Housing,Other,Female,FT,Non-Athlete,17,M,1987,,144,144,0,3.9,3,1,1,4,1991,91,1994,
Multi/interdisciplinary Studies,Indiana,On-Campus University Housing,All Scholarship Types,Female,FT,RA,23,S,1987,,94,80,14,1.1,3.2,0,1,3,1991,91,1992,if you need additional information
Engineering Technologies and Engineering-Related Fields,New Mexico,On-Campus University Housing,None,Male,FT,RA,20,M,2002,,27,14,0,2.9,3.5,3,1,4,2006,6,2009,broad range of skills
Mathematics and Statistics,Guam,On-Campus University Housing,None,Female,FT,Athlete,19,M,1986,,65,19,34,1.9,2.3,0,1,4,1990,90,1993,can offer only the highest recommendation for
Architecture and Related Services,Wisconsin,Off-Campus Other,Private,Male,PT,Non-Athlete,20,M,1987,,65,23,29,2.1,0.75,3,2,3,1991,91,1994,
Health Professions and Related Programs,Virginia,On-Campus University Housing,Private,Male,FT,Non-Athlete,22,S,1994,,50,38,2,1.2,2.6,3,2,2,1998,98,2000,
Engineering Technologies and Engineering-Related Fields,Washington,On-Campus Dorm,None,Male,FT,Athelete,23,S,1985,,70,21,48,2.9,3.9,1,2,1,1989,89,1992,
Construction Trades,North Carolina,Off-Campus University Housing,University,Female,PT,Athelete,20,S,2004,,113,77,12,4,3.7,3,2,0,2008,8,2009,
Military Technologies and Applied Sciences,New Hampshire,Off-Campus University Housing,All Scholarship Types,Female,PT,RA,21,S,1999,,35,10,24,1.1,0.75,1,2,0,2003,3,2005,
Mechanic and Repair Technologies/technicians,North Dakota,Commuter,Other,Female,FT,Athelete,21,S,2001,,7,1,1,2.9,3.6,3,1,2,2005,5,2009,
All Majors,Arizona,On-Campus University Housing,Other,Male,FT,Athlete,22,M,1989,,18,10,2,2.8,3.5,3,1,2,1993,93,1993,his qualifications and performance
Military Technologies and Applied Sciences,Mississippi,Off-Campus Other,Private,Female,FT,Non-Athlete,23,S,2005,,121,40,58,2.1,2.4,3,2,0,2009,9,2010,is a tireless worker
Liberal Arts and Sciences Studies and Humanities,New Hampshire,Off-Campus University Housing,University,Female,FT,RA,19,S,1992,,92,87,2,3.2,1.4,3,2,2,1996,96,1998,will measure up to your high standards
Construction Trades,South Carolina,Off-Campus University Housing,Private,Male,FT,RA,19,M,1989,,95,28,66,1.4,2.5,1,1,1,1993,93,1993,
Legal Professions and Studies,New York,Off-Campus University Housing,University,Male,PT,Non-Athlete,21,S,1993,,72,15,30,2.5,1.1,2,2,1,1997,97,1998,
All Majors,Iowa,Off-Campus Other,Private,Female,PT,Athelete,18,S,2002,,13,0,2,3.6,4,0,1,3,2006,6,2009,have no hesitation in recommending
Aviation,Indiana,Commuter,University,Male,FT,RA,21,S,1993,,105,8,86,3.2,2.7,2,2,1,1997,97,2001,will measure up to your high standards
Health Professions and Related Programs,Alabama,Commuter,University,Female,PT,RA,19,M,1993,,72,25,40,3.7,3.3,2,1,3,1997,97,1998,comments are well thought out and clearly articulated
Biological and Biomedical Sciences,American,On-Campus Dorm,Private,Male,FT,Athelete,24,S,1988,,121,63,12,2.3,3.5,0,1,1,1992,92,1993,should you have any questions
Construction Trades,Iowa,On-Campus Dorm,All Scholarship Types,Male,FT,Non-Athlete,17,M,1995,,101,92,5,1.3,1.4,3,1,1,1999,99,2000,
Communications Technologies/technicians and Support Services,Oklahoma,On-Campus Dorm,Other,Male,FT,RA,21,M,1990,,36,14,10,3.2,1.3,2,2,1,1994,94,1997,
Engineering Technologies and Engineering-Related Fields,Ohio,Commuter,Private,Female,FT,RA,24,M,1999,,61,35,9,3.6,2.2,2,1,4,2003,3,2006,
Architecture and Related Services,Delaware,Commuter,Other,Female,PT,Athlete,21,M,1988,,24,18,1,3.8,,4,1,1,1992,92,1993,always behaves professionally
English Language and Literature/letters,Minnesota,Commuter,All Scholarship Types,Female,PT,RA,23,M,1991,,87,49,4,1,1.7,4,1,2,1995,95,1995,comments are well thought out and clearly articulated
Mathematics and Statistics,South Dakota,Off-Campus Other,Private,Male,FT,Non-Athlete,20,M,1999,,68,62,3,2.4,1.7,2,1,0,2003,3,2006,will be successful in any enterprise he undertakes
Undeclared,New York,On-Campus Dorm,Other,Male,FT,RA,21,M,1999,,78,44,10,3,1.4,0,2,4,2003,3,2003,
"Communication, Journalism, and Related Programs",New Mexico,Off-Campus Other,None,Female,FT,Athelete,23,M,1994,,147,72,33,1.3,3.8,3,1,4,1998,98,2000,if you have further questions
Family and Consumer Sciences/human Sciences,Illinois,Off-Campus Other,None,Female,FT,RA,18,S,1988,,137,5,108,1.3,3.2,3,1,2,1992,92,1994,has been a pleasure to supervise
All Majors,Arkansas,On-Campus University Housing,All Scholarship Types,Female,FT,Athlete,20,M,1998,,124,87,2,3.2,3.2,0,1,1,2002,2,2005,
Mechanic and Repair Technologies/technicians,Vermont,Off-Campus University Housing,Private,Female,FT,Athlete,25,S,1986,,129,48,73,2.9,3.5,3,2,2,1990,90,1991,
Mathematics and Statistics,Louisiana,On-Campus Dorm,None,Female,FT,Athelete,20,M,1992,,145,17,12,2.3,3.4,0,1,4,1996,96,1999,
"Homeland Security, Law Enforcement, Firefighting",Michigan,Off-Campus University Housing,Other,Male,PT,Athelete,19,M,2002,,55,27,1,1.9,3.9,2,2,2,2006,6,2006,hope this information proves helpful
Undeclared,New Mexico,Commuter,None,Male,FT,RA,23,S,2001,,89,54,28,3.8,2.8,4,1,4,2005,5,2006,
Health Professions and Related Programs,Colorado,Commuter,None,Female,PT,Athelete,17,S,2000,,80,34,43,1.6,3.5,4,1,0,2004,4,2004,
"Area, Ethnic, Cultural, Gender, and Group Studies",Connecticut,On-Campus University Housing,University,Female,FT,Non-Athlete,18,S,1999,,103,60,11,1.7,1.2,4,2,2,2003,3,2007,
"Foreign Languages, Literatures, and Linguistics",Northern Marianas,On-Campus University Housing,None,Female,FT,RA,25,S,1997,,40,3,14,2.3,3.7,2,2,1,2001,1,2003,every confidence in her ability to
Biological and Biomedical Sciences,North Dakota,Commuter,All Scholarship Types,Male,PT,RA,22,S,1991,,139,118,19,1.1,2.8,1,2,0,1995,95,1999,
Multi/interdisciplinary Studies,South Dakota,On-Campus University Housing,All Scholarship Types,Male,FT,Athelete,18,M,2004,,65,12,28,3.9,,1,1,3,2008,8,2010,am pleased to comment on
"Communication, Journalism, and Related Programs",Idaho,Off-Campus Other,All Scholarship Types,Male,PT,Athlete,24,M,2003,,31,25,4,3.6,2.7,0,1,3,2007,7,2010,have admiration and respect for
English Language and Literature/letters,American,Commuter,Private,Male,FT,RA,18,M,2003,,138,75,46,2.1,1.4,4,1,3,2007,7,2011,
"Foreign Languages, Literatures, and Linguistics",Michigan,On-Campus University Housing,University,Female,FT,RA,18,M,1986,,18,5,3,2.2,2.9,3,2,2,1990,90,1991,conventions/grammar rule
Library Science,Micronesia,Off-Campus Other,University,Female,PT,Athelete,19,M,2000,,96,65,25,3.8,3.8,0,1,4,2004,4,2005,
"Communication, Journalism, and Related Programs",Washington,Off-Campus University Housing,University,Male,FT,Athelete,23,S,2001,,148,65,62,2.7,3.4,3,1,1,2005,5,2007,always cheerful and dependable
Construction Trades,Marshall Islands,Off-Campus Other,All Scholarship Types,Female,FT,Athlete,24,S,1986,,45,1,36,2.1,1.4,4,1,0,1990,90,1991,conventions/grammar rule
Mathematics and Statistics,Puerto Rico,Off-Campus Other,All Scholarship Types,Male,FT,RA,20,S,1988,,146,56,71,3.4,2.5,1,2,1,1992,92,1993,
Military Technologies and Applied Sciences,Minnesota,On-Campus Dorm,Private,Male,PT,RA,18,M,1993,,55,22,11,3.4,3.3,0,1,0,1997,97,1997,
Aviation,Kansas,Off-Campus University Housing,Private,Male,PT,Non-Athlete,23,S,1986,,117,23,24,1.3,4,2,2,3,1990,90,1994,
"Foreign Languages, Literatures, and Linguistics",Arizona,Commuter,Private,Male,FT,Athelete,20,M,1992,,136,48,37,3.7,4,0,1,0,1996,96,1996,
