Major,Location,Residence,Scholarship,Sex,Status,Type,Enrollment Age,Marital Status,Enrollment Date,Sponsor,Credits Attempted,Credits Completed,Credits Dropped, Current GPA,Average GPA,Number of Sports,Intermural Participant,Number of Clubs,Expected Graduation Date,Class o f,Actual Graduation Date,Comments,Age,Is Underage Drinking OK,Has Drank O nCampus,Number of Drinks Per Week,Has been intoxicated,Has Purchased Alcohol
Mathematics and Statistics,Delaware,On-Campus University Housing,Private,Male,PT,Athelete,24,M,1990,,78,23,55,3.9,3.5,3,2,0,1994,94,1998,if I can further assist,25,Yes,No comment,2,Yes,no
Business Management Marketing and Related Support Services,Delaware,On-Campus University Housing,Other,Male,FT,Athelete,19,M,1993,,92,65,1,2.3,3.6,0,2,2,1997,97,1997,,21,UnSure,No comment,3,Yes,no
Liberal Arts and Sciences Studies and Humanities,Nevada,Off-Campus University Housing,None,Male,FT,RA,23,S,1994,,90,67,20,3.5,1.1,0,1,3,1998,98,1998,has been a pleasure to supervise,24,Yes,no,3,Yes,No comment
Communication Journalism and Related Programs,West Virginia,Commuter,Private,Male,PT,Athelete,25,M,2002,,16,0,13,2.5,3.9,4,2,0,2006,6,2009,will meet your expectations,27,Yes,no,3,Yes,no
Education,New Mexico,Commuter,Other,Female,FT,RA,24,S,1998,,67,60,5,2.2,2.7,2,2,3,2002,2,2004,,28,Yes,Yes,1,No comment,no
Engineering,New Mexico,On-Campus University Housing,University,Male,PT,RA,24,M,2005,,87,71,9,2.2,2.1,1,1,2,2009,9,2011,,27,UnSure,Yes,2,Yes,no
Health Professions and Related Programs,Louisiana,Off-Campus Other,All Scholarship Types,Female,PT,Non-Athlete,22,M,2000,,99,50,15,2,2.8,3,2,0,2004,4,2006,Self-starter,23,Yes,no,2,no,No comment
Liberal Arts and Sciences Studies and Humanities,Wyoming,Off-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,17,S,1985,,44,11,17,3.7,1.8,0,2,1,1989,89,1993,,20,No,,2,no,
Foreign Languages Literatures and Linguistics,Guam,Off-Campus University Housing,Other,Male,FT,Non-Athlete,23,S,1999,,73,5,51,2.2,1.8,1,1,1,2003,3,2006,,27,No,No comment,1,No comment,no
Homeland Security- Law Enforcement- Firefighting,Nevada,On-Campus Dorm,University,Male,FT,RA,19,S,1997,,109,28,36,1.3,1,1,1,2,2001,1,2005,,19,Yes,,1,No comment,
Business Management Marketing and Related Support Services,Indiana,Commuter,Other,Male,FT,Athelete,20,S,1998,,8,0,3,3.5,3.4,0,2,4,2002,2,2006,,22,UnSure,no,2,Yes,Yes
Health Professions and Related Programs,Minnesota,Off-Campus Other,Other,Female,PT,All,19,S,1987,,12,0,2,1.7,2.3,2,2,2,1991,91,1994,can attest to his integrity,19,UnSure,,2,No comment,
Engineering,Mississippi,On-Campus University Housing,University,Female,FT,Athelete,17,S,1993,,4,3,1,1.2,3.8,0,2,3,1997,97,1999,Self-starter,18,UnSure,,1,No comment,
Library Science,Wyoming,On-Campus University Housing,None,Male,FT,Non-Athlete,20,M,1991,,65,24,3,2.5,0.75,4,1,0,1995,95,1995,,22,UnSure,Yes,2,No comment,No comment
Legal Professions and Studies,American,Off-Campus Other,Other,Female,FT,RA,18,M,1992,,95,5,66,2.7,2.9,3,1,4,1996,96,1999,understands/utilizes,18,UnSure,,3,Yes,
Health Professions and Related Programs,Illinois,Off-Campus Other,University,Female,FT,RA,25,M,1994,,24,3,17,1.4,3.7,1,2,3,1998,98,1999,has been a pleasure to supervise,25,Yes,Yes,2,Yes,No comment
Architecture and Related Services,Virgin Islands,On-Campus Dorm,University,Male,FT,All,18,S,2004,,48,37,4,0.75,1.9,4,2,0,2008,8,2012,have no hesitation in recommending,22,Yes,no,1,Yes,no
Architecture and Related Services,North Carolina,On-Campus Dorm,University,Male,PT,RA,24,S,1996,,52,18,26,2.8,1.3,3,1,1,2000,0,2004,,24,No,No comment,3,Yes,no
Communication Journalism and Related Programs,Mississippi,Off-Campus Other,Other,Female,FT,RA,18,S,1998,,51,51,0,3.5,1.7,2,1,0,2002,2,2002,is a pleasure to recommend,21,UnSure,no,3,no,No comment
Mechanic and Repair Technologies/technicians,New Jersey,On-Campus Dorm,None,Male,PT,Non-Athlete,22,M,1989,,77,12,41,1.2,2.9,3,2,0,1993,93,1996,,23,UnSure,Yes,3,Yes,Yes
Legal Professions and Studies,Colorado,Off-Campus University Housing,Other,Male,FT,RA,23,S,1992,,91,20,38,3.8,1.7,1,1,0,1996,96,1998,if you have further questions,26,No,Yes,3,No comment,no
Library Science,Minnesota,Off-Campus University Housing,Private,Female,FT,All,20,M,1993,,40,18,1,1.5,3,4,2,3,1997,97,1998,,24,Yes,No comment,1,no,no
Engineering Technologies and Engineering-Related Fields,Colorado,Commuter,All Scholarship Types,Male,FT,Athelete,20,M,1998,,80,4,16,3,3.2,0,1,0,2002,2,2004,will be a great addition to,21,No,Yes,2,Yes,no
Family and Consumer Sciences/human Sciences,Connecticut,Off-Campus University Housing,All Scholarship Types,Male,PT,Athelete,20,S,2001,,118,75,3,3.4,3.4,0,2,3,2005,5,2005,his qualifications and performance,20,UnSure,,3,No comment,
Homeland Security- Law Enforcement- Firefighting,All Locations,On-Campus University Housing,University,Female,FT,Non-Athlete,19,S,1989,,96,90,4,2.4,1.4,3,1,0,1993,93,1996,,20,Yes,,3,No comment,
Foreign Languages Literatures and Linguistics,Puerto Rico,Off-Campus University Housing,University,Male,PT,All,22,S,1985,,53,10,20,3.7,2.5,4,1,3,1989,89,1989,,22,No,Yes,3,Yes,no
All Majors,New York,Commuter,Other,Male,PT,All,24,M,1996,,26,25,1,3.5,3.8,4,2,3,2000,0,2003,,26,UnSure,Yes,2,No comment,No comment
Architecture and Related Services,New Jersey,On-Campus Dorm,Private,Male,FT,All,19,M,1998,,77,2,55,3.2,1.5,2,1,1,2002,2,2005,Applies themself,22,Yes,no,1,No comment,Yes
Human Services,Utah,Off-Campus Other,All Scholarship Types,Female,PT,Non-Athlete,19,M,1994,,83,28,6,3.1,3.1,0,2,1,1998,98,2002,,20,No,,3,no,
Agriculture- Agriculture Operations- and Related Sciences,Colorado,Commuter,Other,Male,FT,RA,21,M,1986,,85,39,30,3.4,4,3,1,3,1990,90,1990,,21,UnSure,no,3,Yes,no
Mechanic and Repair Technologies/technicians,All Locations,On-Campus Dorm,University,Female,FT,Non-Athlete,21,M,1996,,32,24,4,2.8,1.2,2,2,1,2000,0,2001,,22,UnSure,no,1,No comment,Yes
Agriculture- Agriculture Operations- and Related Sciences,Oklahoma,Off-Campus Other,University,Male,PT,Athelete,24,S,1999,,131,125,5,2.2,3.4,3,1,2,2003,3,2006,if you have further questions,24,Yes,Yes,2,No comment,no
Biological and Biomedical Sciences,Illinois,Off-Campus University Housing,Private,Male,FT,RA,21,S,1991,,98,3,3,2.3,3.9,4,1,4,1995,95,1995,works independently and effectively,21,Yes,no,2,No comment,No comment
Computer and Information Sciences and Support Services,Virginia,Off-Campus Other,None,Female,FT,Athelete,17,S,1990,,5,2,3,2.3,3.8,0,2,2,1994,94,1996,,18,UnSure,,2,No comment,
Communications Technologies/technicians and Support Services,Alaska,On-Campus University Housing,Private,Male,PT,RA,19,S,2002,,54,47,3,1,2.6,2,2,2,2006,6,2009,,20,No,,1,No comment,
Family and Consumer Sciences/human Sciences,Washington,Commuter,University,Male,PT,Non-Athlete,19,S,1999,,147,98,11,4,1.7,0,1,4,2003,3,2007,,19,UnSure,,3,No comment,
Liberal Arts and Sciences Studies and Humanities,Micronesia,Off-Campus Other,Private,Male,FT,RA,24,M,2004,,91,72,14,3.9,1.1,1,1,1,2008,8,2009,,26,UnSure,no,3,Yes,No comment
Military Technologies and Applied Sciences,Kentucky,Off-Campus University Housing,University,Female,FT,RA,18,S,1992,,79,41,37,1.9,2.3,1,1,3,1996,96,1999,,20,No,,2,no,
Communications Technologies/technicians and Support Services,Iowa,On-Campus Dorm,Private,Male,FT,RA,20,S,2005,,44,36,6,2.9,,4,1,3,2009,9,2011,,23,Yes,Yes,1,No comment,no
Human Services,South Carolina,On-Campus Dorm,University,Male,PT,Athelete,18,M,2001,,3,3,0,2.4,4,0,1,4,2005,5,2007,her sensitivity and concern for others,18,No,,1,No comment,
Multi/interdisciplinary Studies,Alaska,On-Campus Dorm,None,Female,FT,All,25,S,1988,,97,63,7,3.2,2,2,2,4,1992,92,1994,,27,Yes,No comment,1,no,no
Architecture and Related Services,Florida,Commuter,Other,Male,FT,All,18,S,1994,,107,27,67,2.5,1.5,1,1,1,1998,98,2000,have admiration and respect for,22,No,Yes,3,No comment,Yes
Communications Technologies/technicians and Support Services,Ohio,Commuter,None,Male,FT,All,21,M,1997,,99,26,2,2.8,1.9,4,2,2,2001,1,2001,,22,No,no,3,Yes,No comment
History,Northern Marianas,On-Campus University Housing,University,Male,PT,Non-Athlete,19,S,1998,,120,28,50,1.1,3.8,4,2,0,2002,2,2004,,20,UnSure,,2,Yes,
Construction Trades,Florida,Off-Campus University Housing,Other,Female,PT,Athelete,24,S,2001,,16,14,0,1.6,3.6,3,1,2,2005,5,2007,,26,UnSure,No comment,2,No comment,No comment
Business Management Marketing and Related Support Services,Utah,Commuter,Private,Male,FT,All,23,M,2005,,130,57,45,2.7,3,1,2,4,2009,9,2011,can attest to his integrity,25,UnSure,Yes,2,Yes,no
Liberal Arts and Sciences Studies and Humanities,Mississippi,Commuter,Other,Male,FT,Athelete,22,S,2004,,59,32,4,4,3.9,2,1,0,2008,8,2011,,23,UnSure,Yes,1,Yes,no
Communication Journalism and Related Programs,West Virginia,Commuter,Private,Male,FT,Athelete,19,S,2005,,118,90,16,1.3,3.5,3,1,0,2009,9,2012,am delighted to be called upon,21,UnSure,No comment,3,Yes,Yes
Military Technologies and Applied Sciences,South Dakota,Off-Campus Other,All Scholarship Types,Male,FT,Non-Athlete,21,M,1994,,46,1,10,3.5,0.75,3,1,3,1998,98,1998,am happy to recommend,21,Yes,no,2,No comment,no
Biological and Biomedical Sciences,Texas,Commuter,Other,Male,PT,RA,25,M,1998,,142,40,102,2.9,1.2,4,1,2,2002,2,2006,,27,UnSure,no,1,Yes,Yes
Aviation,American,Commuter,All Scholarship Types,Female,FT,RA,19,S,1993,,59,54,4,2.7,1.6,3,2,1,1997,97,1997,have no reservations in,20,No,,3,no,
Mechanic and Repair Technologies/technicians,California,Off-Campus University Housing,Other,Female,PT,All,22,M,2004,,30,15,6,3,,0,1,2,2008,8,2008,,23,UnSure,No comment,3,Yes,no
Agriculture- Agriculture Operations- and Related Sciences,Alabama,On-Campus University Housing,None,Female,FT,Non-Athlete,18,M,2002,,42,6,34,1.2,1.1,1,1,3,2006,6,2006,,21,Yes,no,1,no,No comment
Human Services,Alabama,On-Campus University Housing,None,Female,FT,All,24,M,2000,,86,80,2,1.6,1.3,1,1,2,2004,4,2005,,26,No,no,3,no,no
Mechanic and Repair Technologies/technicians,Puerto Rico,On-Campus Dorm,Other,Male,FT,RA,21,M,1989,,83,12,18,1.3,2.6,1,2,1,1993,93,1996,,23,Yes,Yes,2,Yes,Yes
Business Management Marketing and Related Support Services,Mississippi,Off-Campus Other,All Scholarship Types,Male,FT,RA,25,M,1996,,40,13,2,3.2,1.2,3,1,1,2000,0,2001,,25,No,No comment,2,No comment,No comment
History,Wisconsin,Off-Campus University Housing,All Scholarship Types,Male,PT,Non-Athlete,23,M,1985,,96,86,2,2.4,2.9,3,2,4,1989,89,1991,,23,No,no,2,No comment,no
Liberal Arts and Sciences Studies and Humanities,New York,Off-Campus University Housing,None,Male,PT,All,22,S,2001,,17,11,4,2.7,3,1,2,2,2005,5,2009,recommend without reservation,25,Yes,no,3,No comment,no
English Language and Literature/letters,Oregon,Off-Campus Other,Other,Male,FT,Non-Athlete,24,M,1993,,92,55,0,2.7,3.4,0,2,1,1997,97,1999,is intelligent and ambitious,26,Yes,No comment,1,No comment,Yes
English Language and Literature/letters,Alaska,On-Campus Dorm,All Scholarship Types,Male,PT,All,24,S,2004,,124,57,57,3.7,1.7,0,1,2,2008,8,2009,,27,Yes,no,1,Yes,Yes
Liberal Arts and Sciences Studies and Humanities,New Jersey,On-Campus University Housing,None,Female,PT,Non-Athlete,25,M,1989,,125,27,47,3.5,1.9,0,1,0,1993,93,1997,,28,Yes,Yes,3,Yes,No comment
Health Professions and Related Programs,Nebraska,Off-Campus Other,Other,Female,FT,All,24,M,2001,,68,45,14,2.6,2.3,2,1,3,2005,5,2009,,28,UnSure,Yes,2,No comment,Yes
English Language and Literature/letters,New York,On-Campus Dorm,University,Female,FT,Athelete,21,M,1996,,90,86,3,3.1,4,3,2,4,2000,0,2003,,22,UnSure,Yes,2,no,Yes
Biological and Biomedical Sciences,Connecticut,Off-Campus University Housing,All Scholarship Types,Female,PT,All,22,S,2000,,3,0,2,3.4,3.3,2,1,4,2004,4,2004,,23,No,no,1,Yes,no
Family and Consumer Sciences/human Sciences,Massachusetts,Off-Campus University Housing,Other,Female,PT,All,24,M,2005,,3,2,1,2,1.1,3,2,4,2009,9,2009,,24,UnSure,no,2,No comment,no
Engineering Technologies and Engineering-Related Fields,Colorado,Off-Campus Other,University,Female,FT,All,25,S,1986,,98,15,60,1.1,2.4,3,1,4,1990,90,1990,,26,No,no,3,Yes,Yes
Mathematics and Statistics,Utah,On-Campus Dorm,Private,Male,FT,All,17,S,1991,,124,4,1,2.8,1.6,4,1,1,1995,95,1997,,21,Yes,Yes,2,Yes,Yes
Health Professions and Related Programs,New Mexico,Off-Campus University Housing,None,Female,FT,RA,21,S,1999,,139,70,36,2.3,3.7,1,1,2,2003,3,2003,,23,No,no,2,Yes,no
Computer and Information Sciences and Support Services,Kansas,On-Campus Dorm,None,Female,FT,Athelete,22,M,1993,,71,32,22,2.3,3.5,3,2,1,1997,97,2001,ADHD,24,UnSure,No comment,1,No comment,No comment
Undeclared,Virgin Islands,Commuter,University,Male,FT,All,25,M,1994,,35,28,2,3.1,2.1,0,1,1,1998,98,2000,,25,UnSure,no,2,Yes,No comment
Military Technologies and Applied Sciences,Wisconsin,On-Campus Dorm,University,Male,FT,Non-Athlete,23,S,2004,,38,5,30,1.9,3.5,3,1,3,2008,8,2008,will be a credit to your,27,No,No comment,3,Yes,No comment
History,California,Commuter,University,Female,PT,Non-Athlete,20,S,1987,,56,33,3,2.7,,4,2,2,1991,91,1991,communicates her ideas clearly,23,UnSure,no,1,Yes,no
English Language and Literature/letters,Puerto Rico,Commuter,Private,Female,FT,RA,23,S,1986,,59,4,44,1.6,3.1,2,2,0,1990,90,1990,has my highest recommendation,26,UnSure,Yes,2,No comment,no
Undeclared,Oklahoma,Off-Campus Other,None,Female,PT,Athelete,23,M,1992,,25,17,4,1.2,,0,2,1,1996,96,1996,,27,Yes,no,2,No comment,Yes
Multi/interdisciplinary Studies,American,On-Campus University Housing,University,Male,FT,RA,22,S,1995,,114,85,1,1.2,1.8,3,2,3,1999,99,2003,,25,No,No comment,2,Yes,no
Communication Journalism and Related Programs,Colorado,Off-Campus University Housing,Private,Male,FT,Non-Athlete,17,M,2000,,148,36,81,1.3,2.7,3,1,4,2004,4,2005,,20,Yes,,2,Yes,
Legal Professions and Studies,Arkansas,Commuter,University,Female,FT,Non-Athlete,25,M,1988,,16,8,2,2,2.2,1,1,0,1992,92,1995,,29,No,no,1,Yes,no
Liberal Arts and Sciences Studies and Humanities,Missouri,Off-Campus Other,Private,Female,PT,Athelete,18,S,1999,,16,4,3,2.8,3.2,0,1,2,2003,3,2004,,21,UnSure,no,2,no,no
Legal Professions and Studies,Wisconsin,Off-Campus Other,University,Female,PT,Non-Athlete,20,M,1994,,74,25,2,1.2,1,1,1,3,1998,98,1998,willing to take on new responsibilities,24,Yes,Yes,1,Yes,No comment
Engineering,North Dakota,On-Campus Dorm,Other,Male,PT,All,17,M,2001,,139,105,19,,1.2,1,1,4,2005,5,2008,Health issues,18,No,,2,No comment,
Communications Technologies/technicians and Support Services,West Virginia,Off-Campus Other,Other,Male,FT,Non-Athlete,17,S,1999,,122,42,51,3,3,1,2,0,2003,3,2004,Hard working- hard worker,21,UnSure,No comment,3,No comment,Yes
Construction Trades,Kentucky,On-Campus Dorm,Private,Female,FT,Athelete,17,M,1990,,102,50,27,,3.7,4,1,3,1994,94,1995,would be pleased to provide a reference for,17,Yes,,3,No comment,
Mechanic and Repair Technologies/technicians,Maryland,Commuter,All Scholarship Types,Female,FT,RA,23,M,1997,,118,100,17,1.1,2.4,4,2,4,2001,1,2002,handles responsibility well,23,No,no,1,Yes,no
Family and Consumer Sciences/human Sciences,Ohio,Off-Campus University Housing,Private,Male,FT,Non-Athlete,17,S,1997,,19,7,0,1.1,3.7,4,1,3,2001,1,2001,,17,No,,3,Yes,
Library Science,South Dakota,Off-Campus Other,All Scholarship Types,Male,FT,All,18,S,1995,,141,0,119,1.8,2.4,3,1,3,1999,99,2003,,21,UnSure,no,1,No comment,no
Homeland Security- Law Enforcement- Firefighting,Ohio,Off-Campus Other,Private,Female,FT,RA,19,S,1997,,59,45,1,1.2,1.6,0,2,1,2001,1,2002,punctual and hard working,21,No,no,3,No comment,Yes
Military Technologies and Applied Sciences,Indiana,Commuter,None,Female,FT,All,21,S,1987,,5,5,0,2.2,3.6,1,1,3,1991,91,1994,Self-starter,24,Yes,Yes,3,No comment,Yes
Engineering Technologies and Engineering-Related Fields,Iowa,Commuter,Other,Female,FT,RA,19,M,1993,,48,1,9,1.2,1.7,1,2,4,1997,97,1998,,19,UnSure,,1,Yes,
Architecture and Related Services,Vermont,Off-Campus University Housing,All Scholarship Types,Female,FT,RA,21,M,2000,,123,120,0,1.2,2.4,2,1,3,2004,4,2007,,23,UnSure,Yes,2,No comment,Yes
Legal Professions and Studies,Maine,Commuter,None,Male,PT,RA,23,S,1993,,119,95,3,1.2,3.5,0,2,3,1997,97,1999,Demonstraates leadership,23,No,No comment,3,Yes,Yes
English Language and Literature/letters,Arizona,Off-Campus University Housing,University,Female,FT,RA,24,S,1987,,143,51,53,2.5,1.6,1,1,2,1991,91,1991,her performance as a,26,Yes,Yes,3,No comment,Yes
Education,Texas,Off-Campus Other,Other,Female,PT,All,25,S,2000,,71,30,28,2.5,3.1,3,1,1,2004,4,2007,,27,UnSure,no,2,Yes,No comment
Communication Journalism and Related Programs,Massachusetts,Off-Campus University Housing,None,Female,FT,Non-Athlete,24,M,1987,,118,26,4,2.2,1.3,1,1,4,1991,91,1991,handles responsibility well,25,No,No comment,2,Yes,no
Foreign Languages Literatures and Linguistics,Mississippi,On-Campus Dorm,All Scholarship Types,Female,FT,All,21,S,1985,,121,43,49,1.3,2.7,4,1,4,1989,89,1989,,25,Yes,No comment,3,Yes,no
Aviation,Vermont,On-Campus Dorm,None,Female,FT,All,19,S,2002,,25,15,6,1.8,2.1,0,1,0,2006,6,2006,,21,UnSure,no,3,no,Yes
Foreign Languages Literatures and Linguistics,Alabama,Commuter,Private,Male,FT,Non-Athlete,23,M,2005,,26,7,16,1.3,2.1,1,2,0,2009,9,2010,will be a credit to your,24,No,Yes,1,Yes,No comment
Architecture and Related Services,Northern Marianas,Commuter,University,Male,FT,RA,18,S,1994,,53,4,34,2.2,1.3,0,2,0,1998,98,2002,am delighted to be called upon,18,UnSure,,3,Yes,
Communications Technologies/technicians and Support Services,Maine,On-Campus Dorm,None,Male,FT,Athelete,24,S,1986,,44,32,2,1.6,3.7,4,2,3,1990,90,1990,will be successful in any enterprise he undertakes,27,No,no,3,Yes,no
Biological and Biomedical Sciences,Mississippi,Off-Campus University Housing,All Scholarship Types,Female,PT,All,24,M,1992,,136,33,16,,4,4,2,4,1996,96,1996,would be an asset to your program,26,No,no,1,No comment,Yes
Human Services,Massachusetts,On-Campus University Housing,Private,Female,FT,Athelete,21,M,1993,,42,8,34,2.7,3.6,2,1,2,1997,97,2000,has been a pleasure to supervise,24,No,No comment,2,No comment,No comment
Mathematics and Statistics,Massachusetts,Commuter,Private,Female,PT,Athelete,18,M,1998,,15,2,5,2.2,3.9,1,2,1,2002,2,2002,can offer only the highest recommendation for,22,No,no,3,Yes,no
Family and Consumer Sciences/human Sciences,Idaho,Off-Campus Other,Private,Female,PT,RA,23,S,1996,,139,45,18,2.5,2.3,4,2,4,2000,0,2001,,23,Yes,Yes,1,No comment,No comment
Engineering,Colorado,Off-Campus Other,University,Male,PT,All,24,M,2002,,47,27,5,,2,2,1,1,2006,6,2006,,24,Yes,Yes,3,Yes,no
Communication Journalism and Related Programs,Indiana,Off-Campus University Housing,Private,Male,FT,Athelete,17,S,1986,,120,109,7,3,,0,2,1,1990,90,1992,will be successful in any enterprise he undertakes,17,Yes,,3,Yes,
Human Services,Iowa,On-Campus Dorm,All Scholarship Types,Male,PT,RA,22,M,1991,,112,86,22,2.1,1.7,0,2,4,1995,95,1999,,22,Yes,no,2,Yes,no
Legal Professions and Studies,New Hampshire,Commuter,None,Female,FT,All,18,S,1999,,12,12,0,1.2,3.7,1,2,3,2003,3,2005,willing to go beyond what is required,22,No,Yes,3,no,Yes
Agriculture- Agriculture Operations- and Related Sciences,Nebraska,Off-Campus University Housing,All Scholarship Types,Male,FT,All,25,M,1985,,115,57,27,2.2,1.3,1,2,0,1989,89,1989,have no reservations in,27,UnSure,no,1,No comment,no
Health Professions and Related Programs,Missouri,Commuter,All Scholarship Types,Female,PT,RA,23,S,2003,,84,3,5,1.8,1.1,4,1,1,2007,7,2008,was a student in two of my classes,25,Yes,Yes,1,Yes,no
Library Science,Virgin Islands,Off-Campus Other,University,Male,PT,All,24,S,1991,,82,62,4,1.7,4,2,2,1,1995,95,1999,,28,Yes,no,2,Yes,no
Mechanic and Repair Technologies/technicians,Utah,Off-Campus University Housing,Private,Male,FT,RA,24,S,1994,,111,32,42,1.7,1.1,1,1,0,1998,98,2000,have had the opportunity to,25,No,Yes,2,Yes,Yes
Business Management Marketing and Related Support Services,Kansas,Commuter,Private,Male,PT,All,21,M,1997,,17,2,15,3.5,3.4,2,2,1,2001,1,2003,every confidence in her ability to,23,UnSure,No comment,1,No comment,No comment
Family and Consumer Sciences/human Sciences,Idaho,Off-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,18,M,1997,,102,93,1,,1.8,1,2,2,2001,1,2004,,20,No,,2,no,
All Majors,Vermont,Off-Campus Other,University,Female,FT,RA,24,M,2004,,118,8,67,4,2,2,1,3,2008,8,2008,have been his supervisor since,24,No,Yes,3,No comment,Yes
Mechanic and Repair Technologies/technicians,Ohio,Commuter,None,Female,FT,All,18,M,1992,,70,10,37,2.1,3.4,1,1,2,1996,96,1996,recommend without reservation,21,No,No comment,3,no,No comment
Mechanic and Repair Technologies/technicians,Ohio,Off-Campus Other,All Scholarship Types,Male,FT,Non-Athlete,20,M,1986,,66,49,1,1.5,3.1,1,1,2,1990,90,1993,,21,UnSure,No comment,3,Yes,Yes
Mathematics and Statistics,Maine,Off-Campus University Housing,All Scholarship Types,Female,PT,Non-Athlete,18,S,1990,,16,9,0,2.7,1.1,4,1,2,1994,94,1998,,19,UnSure,,1,Yes,
Education,American,On-Campus University Housing,All Scholarship Types,Female,PT,Athelete,22,S,2004,,128,87,26,2.1,3.7,2,1,0,2008,8,2011,,24,UnSure,Yes,1,no,No comment
Biological and Biomedical Sciences,Pennsylvania,Off-Campus University Housing,Private,Male,FT,RA,21,M,1992,,104,13,17,3.8,1.8,1,1,2,1996,96,2000,,21,UnSure,no,2,Yes,No comment
Human Services,Illinois,Off-Campus Other,Other,Male,FT,All,19,M,1996,,69,35,4,1.8,3.3,1,2,2,2000,0,2003,,20,Yes,,3,Yes,
